"name","description","distinguishedname","managedby","whenCreated"
"WS-1618","Compaq NW8440","CN=WS-1618,OU=Available Computers,OU=ADMIN,DC=wma-arch,DC=com",,"6/4/2007 1:27:26 PM"
"WS-1501","Carla Ross","CN=WS-1501,OU=Retired Computers,OU=ADMIN,DC=wma-arch,DC=com",,"1/3/2008 1:29:19 PM"
"WS-1699","Retired?","CN=WS-1699,OU=Retired Computers,OU=ADMIN,DC=wma-arch,DC=com",,"8/28/2008 12:33:41 PM"
"WS-1622","Junior Gonzalez Loaner","CN=WS-1622,OU=Laptops,OU=Test_OU,DC=wma-arch,DC=com",,"6/13/2007 12:14:56 PM"
"WS-1601","Retired - 12/29/2015","CN=WS-1601,OU=Retired Computers,OU=ADMIN,DC=wma-arch,DC=com",,"2/18/2010 3:52:47 PM"
"ws-mac","Larry's MAC","CN=ws-mac,CN=Computers,DC=wma-arch,DC=com",,"3/13/2008 8:35:30 AM"
"WS-RESOURCE1",,"CN=WS-RESOURCE1,OU=BIM9VBW,OU=BIM9,DC=wma-arch,DC=com",,"7/16/2012 5:13:01 PM"
"WS-1742","Christina Robles - 8540w","CN=WS-1742,OU=Retired Computers,OU=ADMIN,DC=wma-arch,DC=com",,"5/18/2011 1:48:23 PM"
"WS-1750","Ilyes Nouizi - Retired?","CN=WS-1750,OU=Retired Computers,OU=ADMIN,DC=wma-arch,DC=com",,"8/4/2011 9:09:22 AM"
"WS-1753","8560w","CN=WS-1753,OU=Available Computers,OU=ADMIN,DC=wma-arch,DC=com",,"8/26/2011 2:01:53 PM"
